Order_ID,Order_Date,Customer_ID,Store_ID,Employee_ID,Order_Status,Gross_Amount,Discount_Amount,Tax_Amount,Net_Amount
1,2026-06-22 13:08:44,295,12,72,Completed,185557.32,0.0,33400.32,218957.64
2,2026-01-11 10:02:01,490,10,55,Completed,186853.95,12856.78,31319.49,205316.66
3,2026-03-04 10:31:59,82,4,4,Completed,349577.64,0.0,62923.98,412501.62
4,2026-06-24 21:58:46,166,13,28,Completed,276655.19,40439.92,42518.75,278734.02
5,2025-10-26 21:26:59,54,15,30,Completed,258514.88,30823.86,40984.38,268675.4
6,2026-04-11 20:04:28,314,5,5,Completed,223234.96,0.0,40182.29,263417.25
7,2026-06-22 11:20:06,311,11,11,Completed,147950.05,0.0,26631.01,174581.06
8,2025-08-27 12:16:31,194,3,78,Completed,177500.84,23157.36,27781.83,182125.31
9,2026-05-31 11:27:52,147,4,19,Completed,471171.68,37900.62,77988.79,511259.85
10,2026-06-16 09:40:42,405,4,4,Completed,117469.36,0.0,21144.48,138613.84
11,2026-05-06 14:49:26,18,13,28,Completed,388629.63,0.0,69953.33,458582.96
12,2026-06-19 19:46:58,443,2,47,Completed,485436.48,0.0,87378.57,572815.05
13,2026-02-26 18:52:30,271,8,8,Completed,101612.2,11698.71,16184.43,106097.92
14,2025-04-01 16:27:40,183,10,40,Completed,165499.54,0.0,29789.92,195289.46
15,2025-04-06 21:33:19,37,10,10,Completed,12734.47,683.62,2169.15,14220.0
16,2026-01-30 17:21:01,256,4,4,Completed,277206.36,0.0,49897.14,327103.5
17,2026-06-13 20:22:04,482,5,35,Completed,349540.07,0.0,62917.21,412457.28
18,2026-06-14 18:15:54,81,5,5,Completed,131106.09,17428.27,20462.01,134139.83
19,2025-10-11 18:03:34,313,9,39,Completed,216874.91,0.0,39037.48,255912.39
20,2026-04-22 19:01:02,57,10,70,Completed,183941.76,10762.1,31172.34,204352.0
21,2026-06-26 21:03:08,134,4,34,Completed,144059.96,0.0,25930.79,169990.75
22,2026-06-11 09:15:31,419,12,42,Completed,439370.5,50121.76,70064.77,459313.51
23,2026-06-26 10:26:38,486,10,10,Completed,171361.3,0.0,30845.03,202206.33
24,2026-06-29 11:17:46,476,2,77,Pending,631104.22,0.0,113598.76,744702.98
25,2026-06-19 19:22:27,19,8,68,Completed,189835.24,22725.57,30079.74,197189.41
26,2025-10-28 09:01:49,401,14,14,Completed,369195.78,0.0,66455.24,435651.02
27,2026-03-09 19:47:01,101,9,54,Completed,266174.29,0.0,47911.37,314085.66
28,2026-06-03 15:44:27,27,7,52,Returned,328103.38,0.0,59058.61,387161.99
29,2026-06-07 14:22:12,60,8,8,Completed,278160.36,21015.64,46286.05,303430.77
30,2025-05-07 10:37:00,471,1,16,Completed,31569.75,1350.37,5439.49,35658.87
31,2026-06-11 09:51:00,383,13,73,Completed,13284.1,0.0,2391.14,15675.24
32,2025-11-17 09:08:28,128,14,14,Completed,406629.91,16734.76,70181.13,460076.28
33,2026-06-20 19:56:15,23,6,51,Returned,360008.24,0.0,64801.48,424809.72
34,2025-06-25 19:07:42,67,10,70,Completed,479217.25,61279.06,75228.87,493167.06
35,2026-05-05 20:47:52,129,9,24,Returned,168226.37,2827.49,29771.8,195170.68
36,2025-07-04 20:19:23,469,14,14,Completed,86218.16,1932.43,15171.43,99457.16
37,2025-10-31 17:57:17,150,14,74,Completed,390676.52,0.0,70321.77,460998.29
38,2024-10-20 14:57:26,278,9,9,Completed,432142.83,0.0,77785.71,509928.54
39,2025-08-28 12:58:08,319,8,23,Completed,32524.93,0.0,5854.49,38379.42
40,2026-06-06 17:13:07,267,4,34,Completed,235249.41,2898.34,41823.19,274174.26
41,2026-05-08 12:44:28,418,13,28,Completed,257468.08,21544.85,42466.18,278389.41
42,2026-06-29 09:17:17,233,2,2,Completed,18398.94,0.0,3311.81,21710.75
43,2025-08-04 13:54:39,154,14,14,Completed,107553.76,0.0,19359.68,126913.44
44,2026-03-06 16:02:14,10,14,59,Completed,316284.31,39682.43,49788.34,326390.22
45,2026-03-14 09:42:19,95,11,26,Pending,303249.4,0.0,54584.89,357834.29
46,2026-06-30 18:48:57,391,6,6,Completed,311808.91,9063.93,54494.1,357239.08
47,2026-06-09 21:37:13,425,15,45,Completed,236894.08,0.0,42640.93,279535.01
48,2026-02-14 15:50:46,175,12,72,Completed,138674.26,0.0,24961.37,163635.63
49,2026-06-15 15:46:59,386,1,1,Completed,32072.59,0.0,5773.07,37845.66
50,2026-01-03 18:46:36,440,9,54,Completed,560263.49,0.0,100847.43,661110.92
51,2025-07-09 20:59:15,134,3,63,Completed,52616.25,0.0,9470.92,62087.17
52,2026-05-12 10:15:49,8,5,50,Completed,239392.06,0.0,43090.57,282482.63
53,2025-07-08 18:17:23,173,10,70,Completed,62697.94,0.0,11285.63,73983.57
54,2026-05-06 10:19:36,129,13,73,Completed,316094.95,6587.63,55711.32,365218.64
55,2026-06-02 16:01:28,429,5,5,Returned,599489.18,0.0,107908.05,707397.23
56,2026-06-29 12:26:03,19,6,66,Completed,233544.7,0.0,42038.05,275582.75
57,2026-06-16 14:04:28,41,5,50,Returned,229073.05,0.0,41233.15,270306.2
58,2026-06-10 16:08:14,393,13,43,Completed,32367.18,0.0,5826.09,38193.27
59,2026-06-26 09:14:07,76,14,74,Completed,168758.97,9909.93,28592.83,187441.87
60,2026-06-06 16:37:20,95,11,41,Pending,192543.23,17804.82,31452.91,206191.32
61,2026-03-29 13:16:01,368,4,4,Completed,1057706.18,0.0,190387.11,1248093.29
62,2026-05-02 20:02:38,440,14,59,Returned,266731.85,26142.13,43306.15,283895.87
63,2026-06-28 10:32:04,56,2,77,Completed,567458.14,0.0,102142.47,669600.61
64,2026-05-26 10:41:27,167,10,55,Returned,635389.96,0.0,114370.19,749760.15
65,2026-06-30 21:23:21,74,1,31,Cancelled,362224.05,44368.76,57213.95,375069.24
66,2026-05-01 13:39:01,460,11,26,Completed,212904.28,0.0,38322.77,251227.05
67,2026-06-21 09:06:38,23,5,5,Completed,161558.02,17306.58,25965.26,170216.7
68,2025-01-06 15:53:37,161,9,39,Pending,265077.85,0.0,47714.01,312791.86
69,2026-06-25 19:05:04,372,3,63,Returned,1002206.78,0.0,180397.22,1182604.0
70,2025-05-16 17:51:03,115,10,70,Completed,331676.25,0.0,59701.72,391377.97
71,2025-02-28 13:12:53,338,9,54,Completed,295320.6,31900.23,47415.67,310836.04
72,2025-07-31 21:49:23,467,4,34,Completed,104254.18,13102.59,16407.29,107558.88
73,2026-05-14 16:46:56,162,12,12,Completed,154643.19,0.0,27835.77,182478.96
74,2026-06-30 14:41:30,41,6,6,Completed,179908.66,0.0,32383.56,212292.22
75,2026-05-20 18:52:52,230,13,58,Returned,219919.73,0.0,39585.55,259505.28
76,2026-06-22 19:37:42,474,9,24,Completed,28709.44,956.56,4995.52,32748.4
77,2026-05-27 14:07:05,134,13,43,Completed,50937.88,0.0,9168.82,60106.7
78,2026-02-20 19:56:49,259,3,78,Completed,331712.73,0.0,59708.29,391421.02
79,2025-10-02 11:07:26,93,15,75,Completed,272281.77,0.0,49010.72,321292.49
80,2025-08-27 11:55:02,284,12,57,Completed,359186.1,29805.77,59288.46,388668.79
81,2025-08-25 11:32:55,13,12,27,Completed,208143.09,0.0,37465.76,245608.85
