Return_ID,Order_Item_ID,Return_Date,Quantity_Returned,Refund_Amount,Reason_for_Return
1,12450,2025-09-17 13:55:43,1,15107.45,Size Issue
2,3221,2025-11-02 02:22:33,1,6132.98,Wrong Item Delivered
3,2753,2026-06-30 23:59:59,5,13752.2,Customer Changed Mind
4,1184,2026-05-23 18:44:35,3,17521.08,Size Issue
5,10459,2025-07-22 17:48:22,2,1471.2,Defective Product
6,12061,2026-05-31 10:53:00,3,75776.37,Wrong Item Delivered
7,8637,2026-03-02 22:19:39,3,63508.23,Customer Changed Mind
8,12190,2026-04-18 08:42:57,5,107996.8,Size Issue
9,6329,2026-06-12 09:49:46,3,65072.13,Customer Changed Mind
10,7420,2025-11-25 05:58:16,3,122728.47,Size Issue
11,3339,2026-02-16 14:00:13,1,10808.33,Wrong Item Delivered
12,3360,2026-06-24 04:30:46,5,254697.65,Customer Changed Mind
13,11572,2026-06-27 21:08:33,5,325046.9,Wrong Item Delivered
14,7273,2026-03-25 03:17:37,1,27207.03,Customer Changed Mind
15,2432,2024-08-10 15:23:06,5,294976.55,Defective Product
16,6223,2026-05-31 03:39:02,5,287494.65,Wrong Item Delivered
17,5179,2026-06-30 23:59:59,1,44102.83,Size Issue
18,7077,2025-10-31 13:22:33,1,25759.96,Size Issue
19,11205,2026-05-22 13:50:41,1,10955.12,Size Issue
20,8627,2025-12-27 00:56:21,1,18898.17,Damaged Product
21,3281,2026-01-12 20:18:05,2,107578.86,Customer Changed Mind
22,7400,2026-03-01 07:21:49,5,223165.75,Customer Changed Mind
23,2782,2026-04-12 05:06:52,1,44102.83,Size Issue
24,892,2026-04-20 08:48:00,4,169576.48,Wrong Item Delivered
25,998,2025-11-22 05:36:22,4,43832.36,Customer Changed Mind
26,4734,2026-06-20 14:34:54,2,103940.0,Wrong Item Delivered
27,5155,2026-06-20 09:20:53,2,25325.04,Defective Product
28,1065,2026-03-02 01:09:51,2,1285.72,Damaged Product
29,13168,2026-06-15 17:33:20,2,64971.28,Customer Changed Mind
30,6451,2025-07-29 17:10:32,5,331676.25,Defective Product
31,12720,2026-01-20 19:16:57,2,97683.54,Damaged Product
32,6049,2025-02-07 04:49:08,4,258227.48,Size Issue
33,5841,2026-02-23 16:08:00,1,57983.9,Wrong Item Delivered
34,13479,2026-05-13 07:28:09,2,4345.24,Wrong Item Delivered
35,10017,2026-05-16 09:18:49,2,64971.28,Defective Product
36,1049,2025-03-10 17:15:17,4,118473.36,Wrong Item Delivered
37,5373,2026-06-15 21:39:05,3,65072.13,Wrong Item Delivered
38,1136,2026-06-08 21:28:37,1,213.0,Size Issue
39,7681,2026-06-30 23:59:59,2,43319.84,Size Issue
40,11124,2026-01-28 04:10:26,1,51065.63,Defective Product
41,8875,2025-11-06 00:37:58,2,79243.26,Wrong Item Delivered
